Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
DISTRIBUIDORA MODENUTI COMERCIO DE UTENSILIOS DOMES LTD,,JOSE ZANETTI,111,CEAT,SAO CARLOS,13573400,SP
DISTRIBUIDORA NAVARRO DE MEDICAMENTOS S/A,,NELSON PALMA TRAVASSOS,275,BAIRRO CITY JARAGUA,SAO PAULO,02998000,SP
DISTRIBUIDORA NOVA PRESTO LTDA,,SARGENTO ACCACIO GONCALVES DOS REIS,581,JAGUARI,ITAQUAQUECETUBA,08596450,SP
DISTRIBUIDORA PADRAO FONZAR LTDA,PADRAO FONZAR DISTRIBUICAO E LOGISTICA,SYLVIO DE MAGALHAES PADILHA,1245,DISTRITO EMPRESARIAL PREFEITO LUIZ ROBERTO JABALI,RIBEIRAO PRETO,14072102,SP
DISYS DO BRASIL SERVICOS DE TECNOLOGIA LTDA.,,SANTOS,2480,CERQUEIRA CESAR,SAO PAULO,01418200,SP
DIVCOM S.A.,,DOUTOR RENATO PAES DE BARROS,750,ITAIM BIBI,SAO PAULO,04530001,SP
DIVEM DISTRIBUIDORA DE VEICULOS MOGI LTDA,,PADRE ROQUE,2855,JARDIM AUREA,MOGI MIRIM,13800207,SP
DIVENA COMERCIAL LTDA,DIVENA CAMINHOES,PIRACEMA,250,TAMBORE,BARUERI,06460030,SP
DIVENA LITORAL VEICULOS LTDA.,,MARGINAL DA VIA ANCHIETA,2521,ALEMOA,SANTOS,11090001,SP
DIVEPE - DISTRIBUIDORA DE VEICULOS E PECAS LTDA,DIVEPE,PEDRO ZOLCSAK,50,FERRAZOPOLIS,SAO BERNARDO DO CAMPO,09790410,SP
DIVERSEY BRASIL INDUSTRIA QUIMICA LTDA,DISTRIBUIDORA DE PRODUTOS DE TOILETTE LTDA.,NOSSA SENHORA DO SOCORRO,125,SOCORRO,SAO PAULO,04764020,SP
DIVERTOYS INDUSTRIA E COMERCIO LTDA.,DIVERTOYS,CARLO BATAGLINI,112,SAO ROQUE,LARANJAL PAULISTA,18500000,SP
DIVIMAX KANON - INDUSTRIA E COMERCIO DE VIDROS E ESPELHOS LTDA,KANON CAMPINAS,NEYDE MODESTO DE CAMARGO,190,LOTEAMENTO CAMPO DOS AMARAIS,CAMPINAS,13082040,SP
DIVINAL DISTRIBUIDORA DE VIDROS NACIONAL LTDA,,TORRES DE OLIVEIRA,255,JAGUARE,SAO PAULO,05347020,SP
DIVISA COMERCIAL DE BRINDES LTDA,GIRARDI,ADILIA BARBOSA NEVES,3450,PORTAO,ARUJA,07413000,SP
DIZA COMERCIAL E IMPORTADORA LTDA,DIZA IMPORTADORA,CAF (CHRISTIANO ARTHUR FREDERICH),236,DISTRITO INDUSTRIAL,RIO CLARO,13505645,SP
DJ INDUSTRIA E COMERCIO EIRELI,,MIRO VETORAZZO,1075,DEMARCHI,SAO BERNARDO DO CAMPO,09820135,SP
DJALMA RIBEIRO LOPES- EIRELI,,CAMPINAS,303,JARDIM IMPERIAL,VALINHOS,13276065,SP
DJR TRANSPORTES E SERVICOS CANAVIEIROS EIRELI,DJR TRANSPORTES E SERVICOS,SAO JOSE,452,JARDIM PRIMAVERA,MORRO AGUDO,14640000,SP
DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA,,BRIGADEIRO FARIA LIMA,1912,JARDIM PAULISTANO,SAO PAULO,01451000,SP
DL GREEN SERVICOS EIRELI,,PALOMA,85,JARDIM VALERIA,GUARULHOS,07124650,SP
