Logradouro,Longitude,Latitude
"DOMINGOS LOPES DA SILVA, SAO PAULO",,
"PREFEITO CASSIANO GONCALVES PASSOS, FRANCISCO MORATO",,
"POMPEIA, SAO PAULO",-50.1720753,-22.1088293
"DOM PEDRO I (SP-65), ITATIBA",,
"RODOVIA DO ACUCAR SP308 A RODOVIA ESTADUAL SP127, RIO DAS PEDRAS",,
"VITORINO MONTEIRO, ITARARE",-49.2973233,-24.1100629
"COREIA DO SUL, PIRACICABA",,
"JOAQUIM BOER, AMERICANA",-47.2989382,-22.7355216
"SANTA MARIA DO PARA, GUARULHOS",,
"2, SANTA GERTRUDES",-47.532034,-22.4590897
"PIRACEMA 1400, BARUERI",-46.8333037,-23.5091965
"JOAO PAULO DA SILVA, SAO PAULO",,
"DOS JURUPIS, SAO PAULO",-47.0720151,-22.854299
"HENRIQUETA MENDES GUERRA, BARUERI",-46.8813611,-23.5108133
"DOS CASA, SAO BERNARDO DO CAMPO",-46.5506747,-23.7080345
"WILTON REIS COSTA, SAO JOSE DOS CAMPOS",-45.9175689,-23.2629101
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"JORNALISTA FRANCISCO AGUIRRA PROENCA,, HORTOLANDIA",,
"QUITANDUBA, SAO PAULO",-46.7164274,-23.5821182
"PAULISTA 37, SAO PAULO",-47.6572739,-22.7377645
"OSASCO, CAJAMAR",-46.7745115,-23.500838
"JOSE PACHECO DO NASCIMENTO, ILHABELA",,
"PRESIDENTE JUSCELINO KUBITSCHEK 1909, SAO PAULO",,
"TAIPAS DE PEDRA, SAO ROQUE",,
"PRESIDENTE JUSCELINO KUBITSCHEK 1830, SAO PAULO",,
"JOAQUIM LAPAS VEIGA, SAO PAULO",-46.7750281,-23.5829384
"ANGELICA, SAO PAULO",-47.3071784,-22.7457168
"PUCURUI, BARUERI",-46.8295502,-23.499132
"PUCURUI, BARUERI",-46.8295502,-23.499132
"LUIZ GATTI, SAO PAULO",-46.7859264,-23.4968657
"ARNALDO MAGNICCARO, SAO PAULO",-46.6870547,-23.6746031
"SANTA JUSTINA, SAO PAULO",-46.6737219,-23.5945861
"LAZARO GONCALVES DE OLIVEIRA, SANTA BARBARA D'OESTE",,
"ATILIO BALBO, SERTAOZINHO",-47.966974,-21.1614912
"DOUTOR SAMPAIO VIDAL, SAO PAULO",-46.5402300796224,-23.56717855
"SANTA EMILIA, SAO PAULO",-47.1777892,-22.8885945
"DO CAPUAVA, COTIA",-46.8985467,-23.6001135
"GOV PEDRO DE TOLEDO, PIRACICABA",,
"LUIZ PEREIRA BARRETO, ARACATUBA",-51.0914078,-20.6250725
"LUIZ PEREIRA BARRETO, ARACATUBA",-51.0914078,-20.6250725
"PRUDENTE DE MORAES, ITATIBA",-46.8401737,-23.0037623
"CABO ADAO PEREIRA, SAO PAULO",-46.7160183,-23.4852629
"DA SE, SAO PAULO",-46.633080956332904,-23.550389799999998
"BARUEL, SAO PAULO",-45.829304,-23.4333168
"AMADEO LUIZ BONINI, SAO BERNARDO DO CAMPO",-46.5610335,-23.7172573
"NATALINO VERDI, CHARQUEADA",,
"ANHANGUERA, SAO PAULO",-46.78853396265938,-23.4329085
"EUGENIO RONCON, RIBEIRAO PIRES",-46.3886982,-23.7019417
"BOA VISTA, SAO CAETANO DO SUL",-46.556647,-23.6449313
"FERNAO DIAS, BRAGANCA PAULISTA",-46.5411036,-23.0236397
"SANTOS, SAO PAULO",-46.333889,-23.960833
"ENGENHEIRO BILLINGS, SAO PAULO",-46.7518582,-23.5335092
"JOSE COSTA DE MESQUITA, INDAIATUBA",,
"PAULISTA, SAO PAULO",-46.6622682,-23.5552461
"ENGENHEIRO LUIZ CARLOS BERRINI, SAO PAULO",-46.6911797,-23.5986567
"ENGENHEIRO LUIZ CARLOS BERRINI, SAO PAULO",-46.6911797,-23.5986567
"MAMORE, BARUERI",-46.8469578,-23.4921202
"JERONIMO DA VEIGA, SAO PAULO",-47.5494522,-23.450312
"RICARDO CAVATTON, SAO PAULO",-46.7029504,-23.5123759
"EZEQUIEL FREIRE, SAO PAULO",-46.6235211,-23.4999554
"ANTONIO MILENA, RIBEIRAO PRETO",-47.7515849,-21.1683112
"THEREZA MARIA LUIZETTO, TABOAO DA SERRA",-46.7537583,-23.6067328
"ITAPICURU, BARUERI",,
"DOS TRABALHADORES, PORTO FELIZ",,
"DOS CICLAMES, SAO PAULO",-45.8199098,-23.1745616
"DO MANGANES, ASSIS",-50.3974223,-22.6400893
"SILVA JARDIM, SAO JOSE DO RIO PRETO",,
"IVETE GABRIEL ATIQUE, SAO JOSE DO RIO PRETO",-49.396682,-20.8093732
"CONSELHEIRO ANTONIO PRADO, SAO JOSE DO RIO PRETO",,
"BARAO DE LIMEIRA, SAO PAULO",-47.3943268,-22.5515425
"SANTA CRESCENCIA, SAO PAULO",-47.9887529,-21.1330948
"SANTO ANTONIO, POA",-51.203882,-30.0600522
"QUEIROZ FILHO, SAO PAULO",-46.5037578,-23.6728868
"BERNARDINO DE CAMPOS, SAO PAULO",-49.4760724,-23.0140216
"PELEGRINO BERNARDO, SAO CAETANO DO SUL",-46.5594936,-23.6359305
