Logradouro,Longitude,Latitude
"ITAMARATI, SANTO ANDRE",-46.4974866,-23.6486172
"DO BOSQUE, SAO PAULO",-45.4582366,-22.9203641
"PARAISO, SAO PAULO",-48.776105,-21.015911
"ABRAO ASSED KM, RIBEIRAO PRETO",-47.7227564,-21.2070638
"JOSE BONIFACIO, CAMPINAS",-46.2537923,-22.9350206
"PADRE FERRAZ, ITAPIRA",-46.8269433,-22.4386669
"DA BOA VISTA, SANTA MARIA DA SERRA",,
"LUIZ FAULIN FILHO, DOIS CORREGOS",-48.3896685,-22.3620795
"VILA EMA, SAO PAULO",-45.9014843,-23.2045216
"PREFEITO GABRIEL JOSE ANTONIO, GUARULHOS",,
"BRIGADEIRO MORAIS, SAO PAULO",-46.5890707,-23.5441936
"EDUARDO DE CAMPOS, SOROCABA",-47.4349634,-23.5014514
"DOS ALPES, BARUERI",-46.9291064,-23.5100083
"DAS PIABAS, SAO JOSE DOS CAMPOS",-45.9102943,-23.221785
"BARAO DE POMBALINHO, SAO PAULO",,
"DEP LACERDA FRANCO, SAO PAULO",-46.6906662,-23.5630312
"DOUTOR CARDOSO DE MELO, SAO PAULO",,
"LEOPOLDO COUTO DE MAGALHAES JUNIOR, SAO PAULO",,
"DO ROCIO, SAO PAULO",-47.5700986,-24.7112627
"BARAO DE ITAPETININGA, SAO PAULO",-48.038553,-23.5734947
"ONZE DE JUNHO, SANTO ANDRE",,
"SENADOR VERGUEIRO, SAO CAETANO DO SUL",-46.5775161,-23.6118292
"DOS BANDEIRANTES, SAO PAULO",-50.8100874,-20.6095697
"PIO XI, SAO PAULO",,
"VISCONDE DE ITABORAI, SAO PAULO",-46.57339572034202,-23.5407389
"BALUARTE, SAO PAULO",-46.6762941,-23.602369
"DOUTOR ULYSSES GUIMARAES, DIADEMA",-46.6132916,-23.6918068
"REBOUCAS, SUMARE",-47.2780292,-22.8146699
"BARAO DE ITAPETININGA, SAO PAULO",-48.038553,-23.5734947
"DOS PIRATININS, SAO PAULO",-47.0727579,-22.8571759
"DOS PIRATININS, SAO PAULO",-47.0727579,-22.8571759
"LEONARDO VALLARDI, GUARULHOS",-46.5343943,-23.4664015
"BRIGADEIRO FARIA LIMA, SAO PAULO",,
"CORONEL GOMES NOGUEIRA, TAUBATE",-45.5585097,-23.0302898
"ALDO FANHANI, DUARTINA",-49.4122698,-22.4190737
"ANGELO ELIAS, SOROCABA",-47.444951,-23.4841862
"BADY BASSITT, SAO JOSE DO RIO PRETO",,
"NOVE DE JULHO, SAO PAULO",-46.8954964,-23.2072831
"CASA DO ATOR, SAO PAULO",,
"ASSIS CHATEAUBRIAND, KM174, GUAPIACU",,
"SANTA ISABEL, SAO PAULO",-46.2271903,-23.3194222
"CANDELARIA, INDAIATUBA",-47.213922425,-23.08329425
"ABILIO SOARES, SAO PAULO",-48.2324992,-23.5440222
"DIONYZIA ALVES BARRETO, OSASCO",,
"MIGUEL FRIAS E VASCONCELOS, SAO PAULO",,
"BERNARDO WRONA, SAO PAULO",-46.6755638,-23.5088722
"7 DE SETEMBRO, ARARAQUARA",,
"AMBROSIA DO MEXICO, SAO PAULO",,
"PRESIDENTE JUSCELINO KUBITSCHEK 1909, SAO PAULO",,
"ISLANDIA, TABOAO DA SERRA",-46.8084339,-23.6321234
"RAGUEB CHOHFI, SAO PAULO",-46.63141190632911,-23.5451975
"JOAO FERREIRA DE CAMARGO, BARUERI",,
"ITAJUBA, VALINHOS",-47.0342517,-22.9951406
"GENY DE OLIVEIRA, JUNDIAI",,
"CESARIO CARAMANO, JAU",,
"SANTANA DO RIACHO, SAO PAULO",,
"EUDORA, SAO PAULO",-46.6376065,-23.6570046
"TREZE DE MAIO, SAO PAULO",-46.2342092,-23.326574
"VEREADOR OSWALDO MARQUES (DISTRITO INDUSTRIAL ERME, BATATAIS",,
"QUE LIGA COROADOS AO BAIRRO DO BARRO PRETO-BRAUNA, COROADOS",,
"INDUSTRIAL WALTER KLOTH, ATIBAIA",-46.5808208,-23.130881
"SP 215 VGSUL-CBRANCA, KM 34, VARGEM GRANDE DO SUL",,
"JOSE MANOEL VEIGA, CAMPINAS",-47.0981007,-22.8904355
"SALIM CURIATI, CERQUEIRA CESAR",-49.1343905,-23.051773
"PUGLISI, GUARUJA",-46.2592497,-23.9910221
"BRAZ LEME, SAO PAULO",-47.39675812518092,-22.18928115
"ALMIRANTE BARROSO, SAO PAULO",-45.3989011690139,-23.79984175
"PRESIDENTE TANCREDO DE ALMEIDA NEVES, CAIEIRAS",-46.7205003,-23.3945357
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"ROBERTO GORDON, DIADEMA",-46.6055362,-23.6866574
"MARQUES DE SAO VICENTE, SAO PAULO",,
"PERNAMBUCO, AGUAS DE LINDOIA",-46.6268143,-22.4745835
"LUIS AUGUSTO DE OLIVEIRA KM 204, DOURADO",,
"JAMES STOLZ, SAO PAULO",-46.5447959,-23.5847397
"LUIZ SPINELLI, MOCOCA",-47.0146698,-21.4548806
"RIO CLARO / AJAPI, RIO CLARO",,
"ALCANTARA MACHADO, SAO PAULO",-47.6403263,-22.7554854
"MARGINAL SALTO BRILHANTE, ITUVERAVA",,
"ENGENHEIRO LUIZ CARLOS BERRINI 105, SAO PAULO",-46.6959555,-23.6135092
"ENGENHEIRO LUIZ CARLOS BERRINI 105, SAO PAULO",-46.6959555,-23.6135092
"LAURO DE GUSMOES SILVEIRA, GUARULHOS",,
"BOM PASTOR, SAO PAULO",-47.78372141682805,-20.3191958
"ARQUIMEDES, JUNDIAI",-46.9320545,-23.1792005
"JOAO BENEDITO MOREIRA, CACAPAVA",-45.6960762,-23.1082827
"ANGELICA, SAO PAULO",-47.3071784,-22.7457168
"MANOEL FERNANDES GARROTE, GUARULHOS",-46.4409453,-23.4142244
"GUARARAPES, SAO PAULO",-50.6441746,-21.2537115
"ALBANO DONIZETE MIANO, MORUNGABA",-46.7948978,-22.876774
"SP 107, JAGUARIUNA",-46.985062,-22.70374
"JOAO RAMALHO, SAO PAULO",-50.7677114,-22.2486157
"PAVAO, SAO PAULO",-48.7788139,-24.6397046
"MARECHAL FLORIANO, GUARARAPES",-50.6378215,-21.2560166
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"AFFONSO PANSAN, AMERICANA",-47.2935158,-22.7249904
"UNIAO, SANTO ANDRE",-8.2094231,38.6678471
"REPUBLICA, MARILIA",-50.58768544795784,-22.420898100000002
"CAVADAS, GUARULHOS",-46.5539007,-23.4888006
"DOUTOR CHUCRI ZAIDAN, SAO PAULO",-46.6965656,-23.6157147
"GANDAVO, SAO PAULO",-46.5921203,-23.4736485
"JUPITER, DIADEMA",-46.6044011,-23.6946923
"CELSO DANIEL, RIBEIRAO PRETO",-47.8012755,-21.0939022
"PRESIDENTE TANCREDO DE ALMEIDA NEVES, GUARULHOS",-46.497355,-23.4625131
"VISCONDE DO RIO BRANCO, RIBEIRAO PRETO",,
"POSSE RESSACA, SANTO ANTONIO DE POSSE",-46.9447977,-22.6031802
"PROFESSOR DOUTOR EDMAR FURQUIM CABRAL DE VASCONCEL, PIRACICABA",,
"DOS ROMEIROS, BARUERI",-46.8832648,-23.4827327
"ONEDA, SAO BERNARDO DO CAMPO",-46.5646292,-23.7052329
"JORNALISTA PAULO ZINGG, SAO PAULO",-46.7567226,-23.487855
"ORISSANGA, SAO PAULO",-46.6380727,-23.6092773
"ARLETE CABRERA ROSSIN, IBIUNA",,
"GUIDO CALOI, SAO PAULO",-46.7262255241059,-23.65902455
"JOSE EDGARS PEREIRA BARRETO, CRAVINHOS",,
"PEREIRA BARRETO, SAO BERNARDO DO CAMPO",,
"HERMINIA CASTELETI BELLODI, JABOTICABAL",,
"RODOVIA DOM PEDRO I, CAMPINAS",-46.9818665,-22.9025906
"INTERLAGOS, SAO PAULO",-46.69670781252424,-23.7019315
"ARI BARROSO, OSASCO",-46.771539,-23.5253456
"DR. MARIO PINTO SERVA, OSASCO",-46.7839906,-23.5311352
"DOUTOR CHUCRI ZAIDAN, SAO PAULO",-46.6965656,-23.6157147
"JOSE MARIA FERNANDES, SAO PAULO",,
"BADEN POWELL, CAMPINAS",-47.0602301,-22.940837
"JOAQUIM FLORIANO, SAO PAULO",-47.4973022,-23.4402092
"VEREADOR JOSE DINIZ, SAO PAULO",-46.67885114364424,-23.622028649999997
"SIDNEI LUCIO RIBEIRO, SUMARE",,
"AMADEU AMARAL, SAO PAULO",-50.042108324059924,-22.39471485
"AURELIANO GUIMARAES, SAO PAULO",-46.7374381,-23.6289918
"DOUTOR GUILHERME DUMONT VILLARES, SAO PAULO",,
"SETE DE NOVEMBRO, SAO PAULO",-46.4432585,-23.5243223
"CUIABA, SANTO ANDRE",-46.5207127,-23.6703057
"ACURUI, SAO PAULO",-46.5531129,-23.558469
"ROSA MAFEI, GUARULHOS",-46.3949251,-23.4205194
"JOAO RAMALHO, MAUA",-46.4532908,-23.6802327
"ORISSANGA, SAO PAULO",-46.6380727,-23.6092773
"JOSE DE SOUZA CAMPOS, CAMPINAS",,
"ENGENHEIRO JOAO BAPTISTA CABRAL RENNO, SANTA CRUZ DO RIO PARDO",-49.4908314,-22.7621148
"SP 340, MOGI-GUACU",-46.9425,-22.372222
"DOM PEDRO II, SANTO ANDRE",,
"DOUTOR JOAO EBOLI, SANTOS",-46.3250192,-23.9420024
"ARAGUAIA, BARUERI",-46.8499394,-23.498754
"DOM JOAO VI, GUARATINGUETA",,
"MARECHAL RONDON, ANDRADINA",-50.9626524,-21.1493603
"ANA COSTA, SANTOS",-46.3331846,-23.9595573
"JANDIATUBA, SAO PAULO",-46.7357448,-23.6284342
"WALDOMIRO CORREA DE CAMARGO, ITU",-47.348359,-23.3909775
"JOEL NASCIMENTO SANTOS, GUARUJA",-46.2772452,-23.9857036
"MIGUEL CURY, OURINHOS",-49.8854989,-22.9781407
"ALBERTO CERQUEIRA LIMA, CAMPINAS",-47.0567288,-22.8861437
"MIRAMBAVA, SUZANO",-46.3072489,-23.5392564
"NICOLAU ZARVOS, SAO PAULO",-49.7307938,-21.6669912
"NOSSA SENHORA MAE DOS HOMENS, GUARULHOS",,
"LAURO DE GUSMAO SILVEIRA, GUARULHOS",-46.4964572,-23.439725
"MUTINGA 3800, SAO PAULO",-46.8142299,-23.4969236
"MANOEL DOS SANTOS FREIRE, BOITUVA",,
"AIMORES, TUPA",-50.3471795,-21.8002097
"CASTRO ALVES, ITAPIRA",,
"EUGENIO SIQUEIRA SALGADO, PINDAMONHANGABA",-45.4586236,-22.9228083
"TRANQUILLO GIANNINI, SALTO",-47.2752583,-23.1668684
"FRANCISCO PRESTES MAIA, SAO BERNARDO DO CAMPO",,
"BUTANTA, SAO PAULO",-46.7218739532194,-23.569131
"BOA VISTA, SAO PAULO",-45.4688634,-22.9174987
"RUI BARBOSA, ARTUR NOGUEIRA",-47.1718473,-22.5723756
"JOAO BIM, RIBEIRAO PRETO",-47.8003868,-21.1683226
"BARCELONA, EMBU DAS ARTES",-46.8858679,-23.6365376
"MITIYOSHI TOKUNAGA, PRESIDENTE PRUDENTE",-51.4264766,-22.1375089
"AMERICO DE OLIVEIRA SPINOLA, BIRIGUI",,
"DOS SENTINELAS, CARAPICUIBA",-46.8246532,-23.5626101
"MORVAN DIAS DE FIGUEIREDO, SAO PAULO",,
"WILLIS ROBERTO BANKS, SAO PAULO",-46.7385409,-23.4936325
"THOMAS SEPE, COTIA",,
"JOAO PAULO ABLAS, COTIA",-46.8375784,-23.6171483
"BRIGADEIRO FARIA LIMA, SAO PAULO",,
"FRANCISCO CARLOS MERLOS, ARARAQUARA",-48.155793,-21.8232321
"VEREADOR ABEL FABRICIO DIAS, PINDAMONHANGABA",-45.3815587,-22.8904579
"RAPOSO TAVARES, COTIA",-46.9026048,-23.6003637
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"ARAO SAHM, MAIRIPORA",,
"PEREIRA BARRETO, SAO BERNARDO DO CAMPO",,
"DOMINGOS LUIS, SAO PAULO",-46.61667226944205,-23.492205650000002
"CORONEL-POLICIA MILITAR NELSON TRANCHESI, ITAPEVI",,
"CORONEL-POLICIA MILITAR NELSON TRANCHESI, ITAPEVI",,
"CORONEL-POLICIA MILITAR NELSON TRANCHESI, ITAPEVI",,
"ALEXANDRE MAGNUSSON, PRADOPOLIS",,
"SANTOS, SAO PAULO",-46.333889,-23.960833
"DOUTOR GASTAO VIDIGAL, SAO PAULO",-48.1759533,-21.7727033
"FLORIANO PEIXOTO, FERRAZ DE VASCONCELOS",-46.3712079,-23.5563645
"16, BARRETOS",-48.5697509,-20.5531437
"16, BARRETOS",-48.5697509,-20.5531437
"16, BARRETOS",-48.5697509,-20.5531437
"VINTE DE DOIS DE OUTUBRO, MOGI MIRIM",,
"BUTANTA, SAO PAULO",-46.7218739532194,-23.569131
"CLAUDIA, SAO PAULO",-47.7056948,-22.6723475
"BRAZ OLAIA ACOSTA, RIBEIRAO PRETO",-47.8161955,-21.206253
"DAS AMOREIRAS, CAMPINAS",-47.61857664266191,-22.74392695
"SAO JOAO, JOSE BONIFACIO",-50.5793171,-29.4463678
"JOSE MUNIA, SAO JOSE DO RIO PRETO",-49.3934928,-20.8384166
"BONFIM, MARILIA",-46.4915213623294,-23.5579112
"CAPITAO PACHECO E CHAVES- SHOPPING MOOCA,2  PISO, SAO PAULO",,
"SANTANA DE IPANEMA, GUARULHOS",-46.4704294,-23.4701865
"JOAO ANDRE FILHO, VOTORANTIM",,
"NOSSA SENHORA DE FATIMA QUADRA, BAURU",,
"PRAIA DO CEREJO, SAO PAULO",,
"PEDRO PANDIM, SAO JOSE DO RIO PRETO",,
"EUGENIO ULIAN, TABAPUA",-49.0312153,-20.9622379
"LEANDRO DE SOUZA, SAO PAULO",-46.3062608,-23.4893273
"GALILEU GALILEI, RIBEIRAO PRETO",-47.8125927,-21.2111637
"ANGELICA, SAO PAULO",-47.3071784,-22.7457168
"AMADEU SANGIOVANI QUADRA, BAURU",,
"JOAO CORREIA DE SA, DIADEMA",,
"HELENA DE MORAES TRANI, ITAPIRA",,
"DOS AMERICANOS, SAO PAULO",-47.335602820735744,-22.74037325
"RAMOS DE AZEVEDO, SAO PAULO",-46.6818174,-23.5627904
"SYLVIO DE CAMPOS FILHO, MOGI-GUACU",,
"BRIGADEIRO FARIA LIMA 3729, SAO PAULO",,
"DOUTOR SEBASTIAO HENRIQUE DA CUNHA PONTES, SAO JOSE DOS CAMPOS",,
"POSSE DE RESSACA, SANTO ANTONIO DE POSSE",-46.9447977,-22.6031802
"TIMOTEO PENTEADO, GUARULHOS",-46.5683252,-23.4631581
"PAULISTA 2064, SAO PAULO",-49.6096509,-20.9764542
"ARAGUARI, SAO PAULO",-50.270306,1.227185
"JORNALISTA PAULO ZINGG, SAO PAULO",-46.7567226,-23.487855
"SANTA LUZIA, RIBEIRAO PRETO",-47.74826545998515,-21.33794785
"MACAPA, COTIA",-46.9097789,-23.5986877
"PRESIDENTE JUSCELINO KUBITSCHEK, SAO PAULO",,
"ALEXANDRE BASSORA, NOVA ODESSA",-47.2847434,-22.778733
"ANHANGUERA, LIMEIRA",-47.3677319,-22.5577985
"MARGINAL MAURILIO BACEGA, SERTAOZINHO",,
"TENENTE MARQUES, SANTANA DE PARNAIBA",-46.8770551,-23.4064164
"DA REPUBLICA, SAO PAULO",-46.642665,-23.5440945
"IZZET FARHA, BAURU",-49.027026,-22.3110553
"ENGENHEIRO LUIZ CARLOS BERRINI, SAO PAULO",-46.6911797,-23.5986567
"LIBERO BADARO, SAO BERNARDO DO CAMPO",-46.5850011,-23.666293
"DOZE, RIO CLARO",-47.5859233,-22.4138762
"OTILIO MONTEIRO DOS SANTOS, FRANCA",,
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"MAGALHAES DE CASTRO, SAO PAULO",,
"CAMPINAS A MONTE MOR, MONTE MOR",-47.30481033158573,-22.9530766
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"ALEXANDRINA DAS CHAGAS MOREIRA, PINDAMONHANGABA",-45.4620217,-22.9678309
"DR CARLOS KIELANDER, MONTE ALTO",,
"TAPAJOS, GUARULHOS",-46.526216149999996,-23.46343775
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"DOUTOR MAURO LINDEMBERG MONTEIRO, OSASCO",-46.7795712,-23.4708464
"MARCO GIANNINI, SAO PAULO",-46.7789561,-23.5804949
"DOUTOR HUMBERTO GIANNELLA, BARUERI",,
"AMAZONAS, SAO CAETANO DO SUL",-46.5688323,-23.6195923
"DO ROCIO, SAO PAULO",-47.5700986,-24.7112627
"ITAPEVA, SAO PAULO",-48.8803886,-23.9849105
"VOLUNTARIOS DA PATRIA, SAO PAULO",,
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"CIPRIANO FERREIRA, MATAO",,
"ANDROMEDA, BARUERI",-46.8579041,-23.4862131
"DOUTOR MIGUEL VIEIRA FERREIRA, HORTOLANDIA",-47.1580325,-22.8845014
"DR ANTENOR SOARES GANDRA, JARINU",,
"TERESINA, SAO PAULO",-47.2895257,-23.2605897
"28 DE DEZEMBRO, JOSE BONIFACIO",,
"BONIFACIO CUBAS, SAO PAULO",-46.6936759,-23.4969619
"JOSE NICOLINI, RIBEIRAO PIRES",-46.4515069,-23.7580835
"JOSE ROSSI, SAO JOSE DO RIO PRETO",,
"ANTONIO APARECIDO FERRAZ, SOROCABA",-47.4936237,-23.5349375
"MARCO, GUARULHOS",-46.4522541,-23.4500285
"JOAO ABDELNUR, SAO CARLOS",-47.8719828,-22.0384272
"NUNILA FERNANDES ARANTE, IBITINGA",,
"ONZE DE FEVEREIRO, SAO PAULO",,
"AFRICA (POLO EMPRESARIAL), SANTANA DE PARNAIBA",,
"TAMBORE, BARUERI",-46.825328796684346,-23.50994155
"STELIO MACHADO LOUREIRO, GUARARAPES",,
"VEREADOR NARCISO YAGUE GUIMARAES, MOGI DAS CRUZES",-46.1716129,-23.5158851
"DIOGO DE QUADROS, SAO PAULO",,
"DO ARAUJO, GUARULHOS",-46.5216214,-23.4333941
"GUARARAPES, SAO PAULO",-50.6441746,-21.2537115
"JOSE ABBAS CASSEB, SAO JOSE DO RIO PRETO",-49.421251,-20.8253383
"DOM LUCIO A DE SOUZA, PILAR DO SUL",,
"FORTUNATO GRILENZONE, CARAPICUIBA",-46.8293577,-23.562335
"1 JN, RIO CLARO",-47.5763796,-22.4587576
"JOAQUIM MACHADO, SOROCABA",-48.12518211603327,-23.17556735
"JOSE BENASSI, JUNDIAI",-46.9171975,-23.197194
"CHUCRI ZAIDAN, SAO PAULO",-46.695485,-23.6139414
"SANTOS, SAO PAULO",-46.333889,-23.960833
"IRINEU TORRES, ARARAS",-47.4054812,-22.3754895
"ALVARO ALVIM, SAO BERNARDO DO CAMPO",-46.5803399,-23.6691403
"CACHOEIRA DA ILHA, SAO PAULO",,
"UBERABA, ITAQUAQUECETUBA",-46.3524915,-23.4910055
"RADAMES LO SARDO, BRAGANCA PAULISTA",,
"MAJOR HILARIO TAVARES PINHEIRO, JABOTICABAL",,
"VERNON KRIEBLE, ITAPEVI",-46.9367825,-23.5240977
"ENGENHEIRO CAMILO DINUCCI, ARARAQUARA",-48.1491172,-21.8049076
"BLINDEX, DIADEMA",-46.5918148,-23.6856219
"MARINA CIUFULI ZANFELICE, SAO PAULO",-46.7048456,-23.5128345
"SAID TUMA, CATANDUVA",-48.9889105,-21.1256676
"ROBERT KENNEDY, SAO BERNARDO DO CAMPO",-46.5733304,-23.7185925
"EUROPA, TABOAO DA SERRA",-46.8070579,-23.6341702
"BARAO DE COTEGIPE, SAO PAULO",-52.3726892,-27.6183948
"FIORAVANTE PIOVANI, ITATIBA",,
"PADRE RAPOSO, SAO PAULO",-46.5977206,-23.5590297
"CLEIDE LURDES AGOSTINHO, SAO ROQUE",,
"LINEU DE PAULA MACHADO, SAO PAULO",,
"VOLUNTARIOS DA PATRIA, SAO PAULO",,
"MUNIC.JACI/RUILANDIA ( PREF.357), JACI",,
"SP 340, CAMPINAS",-47.0286576,-22.0567846
"ARNALDO VALLARDI PORTILHO, SAO PAULO",-46.5485557,-23.5291205
"DOM AGUIRRE, SAO PAULO",-47.4508618,-23.4965859
"ANTONIETA PIVA BARRANQUEIROS, JUNDIAI",-46.9383625,-23.169089
"DO CAMPO LIMPO, SAO PAULO",-46.759666126372395,-23.632557650000003
"AMAMBAI, SAO PAULO",-47.1772446,-22.8626443
"BARAO DE MONTE SANTO, SAO PAULO",,
"PROFESSOR MARIO TEIXEIRA MARIANO, ARARAQUARA",-48.1542118,-21.8174711
"PE RAPOSO, SAO PAULO",,
"IRMA CAROLINA, SAO PAULO",-46.5882992,-23.5392813
"VISCONDE DE PORTO SEGURO, VALINHOS",,
"HIDROCERES, SANTA CRUZ DO RIO PARDO",,
"BRIGADEIRO FARIA LIMA, SAO PAULO",,
"TABAJARAS, SANTA BARBARA D'OESTE",-47.3913606,-22.7611444
"DONA MARIA DE BARROS, GARCA",,
"ABURA, SAO PAULO",-46.6629951,-23.4850058
"ROBERTO PINTO SOBRINHO, OSASCO",-46.7784738,-23.4918099
"CONEGO DOMENICO RANGONI, CUBATAO",-46.36052,-23.8570863
"BRASIL, SAO JOSE DO RIO PARDO",-46.887303,-21.595288
"DA RESSACA, ITAPECERICA DA SERRA",-46.8829261,-23.6771186
"BRIGADEIRO FARIA LIMA, SAO PAULO",,
"GILBERTO SABINO, SAO PAULO",-46.7011592,-23.5671029
"PEDRO STANCATO, CAMPINAS",-47.1027559,-22.8562956
"VITORINO ARIGONI, LIMEIRA",,
"GOVERNADOR ARCHER, GUARULHOS",-46.5258833,-23.4026175
"HONORIO AUGUSTO DE CAMARGO, SAO LOURENCO DA SERRA",,
"ANTONIO RUVOLO, FERRAZ DE VASCONCELOS",-46.3774873,-23.5271593
"RIO NEGRO, BARUERI",-63.0193316,-0.8848192
"MILTON JOSE  NUNES FERNANDES, GUARATINGUETA",-45.1565166,-22.7749121
"VITORIA ROSSI MARTINI, INDAIATUBA",-47.2399522,-23.1425724
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"MAJOR CARLOS DEL PRETE, SAO CAETANO DO SUL",,
"DA SAUDADE, SANTO ANTONIO DO JARDIM",-46.6866015,-22.1219511
"PAPA JOAO PAULO I, GUARULHOS",,
"AUGUSTO SCARABOTO, SANTOS",-46.3627045,-23.9248262
"2, JACUPIRANGA",-48.0060639,-24.703773
"ABRAHAM BERTIE LEVI, SAO PAULO",,
"ULISSES CRUZ, SAO PAULO",-46.5777334,-23.528814
"DOUTOR GENTIL DE MOURA, SAO PAULO",,
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"BADY BASSITT, SAO JOSE DO RIO PRETO",,
"16, BARRETOS",-48.5697509,-20.5531437
"GUSTAVO ORSOLINI, CAMPINAS",-47.1042104,-22.9798747
"16, BARRETOS",-48.5697509,-20.5531437
"JUREMA, SAO PAULO",-48.5706745,-21.3669481
"BARAO DE ITAPETININGA, SAO PAULO",-48.038553,-23.5734947
"ROBERT KENNEDY, SAO BERNARDO DO CAMPO",-46.5733304,-23.7185925
"JOSE BENASSI, JUNDIAI",-46.9171975,-23.197194
"PRINK, MAIRINQUE",-47.1850837,-23.5350506
"DA UVA, JUNDIAI",-46.9202508,-23.1403102
"OSASCO, CAJAMAR",-46.7745115,-23.500838
"DOUTOR ALBERTO SEABRA, SAO PAULO",-46.7067859,-23.5428546
"RICIERI JOSE MARCATTO, MOGI DAS CRUZES",-46.162822,-23.5021417
"CAPITAO FRANCISCO INACIO, POA",-46.3439621,-23.5243615
"ANTONIO CAMPANHA, SAO BERNARDO DO CAMPO",,
"IBIRAMA, TABOAO DA SERRA",-46.8096846,-23.6310996
"DOUTOR CARDOSO DE MELO, SAO PAULO",,
"PENITA, SAO JOSE DO RIO PRETO",-49.3922428,-20.810746
"DR. LUIS CARLOS, SAO PAULO",-46.0588221,-23.4590163
"CAPITAO FRANCISCO TEIXEIRA NOGUEIRA, SAO PAULO",,
"CAPITAO FRANCISCO TEIXEIRA NOGUEIRA, SAO PAULO",,
"ANA COSTA, SANTOS",-46.3331846,-23.9595573
"ESTRADA MUNICIPAL VALENCIO CALEGARI, SUMARE",-47.1991942,-22.8249977
"TAMBORE, BARUERI",-46.825328796684346,-23.50994155
"MARGINAL DA RODOVIA DOS BANDEIRANTES, JUNDIAI",,
"RUTH SIMAO, SOROCABA",-47.4807507,-23.5330044
"MUNICIPAL VINHEDO/ITUPEVA, VINHEDO",-46.997063,-23.1088757
"PRESBITERO PLINIO ALVES DE SOUZA, JUNDIAI",,
"ENGENHEIRO CANDIDO DO REGO CHAVES, MOGI DAS CRUZES",-46.2538204,-23.5997595
"RAPOSO TAVARES, COTIA",-46.9026048,-23.6003637
"ANHANGUERA, SAO PAULO",-46.78853396265938,-23.4329085
"VICINAL EDUARDO PITON, JOSE BONIFACIO",-49.6836546,-21.0040736
"PEDRO EROLES, MOGI DAS CRUZES",-46.2565712,-23.4410834
"ECHAPORA, GUARULHOS",-46.4814726,-23.4645657
"DESEMBARGADOR DALMO DO VALLE NOGUEIRA, SAO PAULO",,
"DAS CORUJAS, SAO PAULO",-48.990086,-23.8958309
"JOAO CACHOEIRA, SAO PAULO",-46.6774145,-23.5861401
"ROSA E SILVA, SAO PAULO",,
"SANTO AMARO, SAO PAULO",-46.7191156,-23.6562303
"SANTO AMARO, SAO PAULO",-46.7191156,-23.6562303
"ADOLFO BASTOS, SANTO ANDRE",-46.5392532,-23.6601055
"JABAQUARA, SAO PAULO",-46.650037329076994,-23.6520656
"CONSELHEIRO CARRAO, SAO PAULO",-46.5465869,-23.5435212
"PACARITAMBO, SAO PAULO",-46.6878411,-23.6717652
"JOAQUIM NABUCO, SAO PAULO",-48.32529601259226,-21.25194755
"BRIGADEIRO FARIA LIMA, ARACATUBA",-51.5112334,-20.6409126
"ENGENHEIRO BILLINGS, SAO PAULO",-46.7518582,-23.5335092
"CORIPHEU DE AZEVEDO MARQUES, CARAPICUIBA",,
"MINAS GERAIS, JACAREI",-44.020297,-19.9074684
"MARTIN AFONSO, MAUA",-51.1377687,-29.7345416
"BARAO DE MAUA, GUARULHOS",,
"SAO CARLOS, CAMPINAS",-47.2633778,-22.8305496
"ANTONIO AFONSO, JACAREI",,
"ERVA ANDORINHA, SAO PAULO",-46.4221225,-23.4770114
"ABILIO SOARES, SAO PAULO",-48.2324992,-23.5440222
"ONDINA, SAO JOSE DO RIO PRETO",-49.389854,-20.8209482
"ALEXANDRE DUMAS, SAO PAULO",-46.499314,-23.6669114
"ALFREDO MOREIRA PINTO, SAO PAULO",-46.4005111,-23.5031898
"ALFREDO MALUF, SANTO ANDRE",-46.5191243,-23.627354
"MANOEL COELHO, SAO CAETANO DO SUL",-46.5724151,-23.6141307
"ANGELA RABAZI DE ANDRADE, ASSIS",-50.3985406,-22.6622659
"MARECHAL DEODORO, MOGI DAS CRUZES",-46.1898501,-23.5249236
"DR GURGEL, PRESIDENTE PRUDENTE",-51.4023472,-22.0925714
"CAROLINA ABREU PAULINO, ITAPEVI",-46.9260376,-23.5415838
"CYRO BUENO, PRESIDENTE PRUDENTE",-51.4129386,-22.1287725
"DOUTOR FRANCISCO QUEIROZ GUIMARAES, SUMARE",-47.2459408,-22.814206
"RODRIGUES PACHECO, SOROCABA",-47.544408,-23.5039354
"NOSSA SENHORA DO SABARA, SAO PAULO",,
"CABO JOSE TEIXEIRA, SAO PAULO",,
"CANDIDO PORTINARI, SAO PAULO",-46.55542814629098,-23.4996574
"INDEPENDENCIA, RIBEIRAO PRETO",-47.8066671,-21.178333
